,tweet_text,keyword
2060,"on this humid Thursday I’m calling it a great day..wearing one of my new library shirts from #txla22 ,have a matching bowband from @chroniclesofapixie & during the fire drill I got to hold a sweet baby and got spit up on!! #holdingbabiesmakesmehappy #babyspitupmeansagreatday",humid
2068,"We're watching the developing weather to our West. Radix House may close at our around 1pm. So hurry on over to your closest location!

http://RadixHouse.com #Coffee #atxcoffee #atx #latte #nitro #coldbrew",weather
2080,"Radix House Coffee Shop locations will close at 1pm today due to incoming bad weather. 99 degrees this weekend. Come get some Cold Brew and iced lattes!
 @ Radix House Coffee Shop https://instagram.com/p/CdLrhi6Ozg5/?igshid=YTgzYjQ4ZTY=…",degree
2081,"Radix House Coffee Shop locations will close at 1pm today due to incoming bad weather. 99 degrees this weekend. Come get some Cold Brew and iced lattes!
 @ Radix House Coffee Shop - East 6th https://instagram.com/p/CdLrto4OCoZ/?igshid=YTgzYjQ4ZTY=…",degree
2095,"TX House Higher Education Committee interim hearing on 60x30TX progress on degree/certificate attainment, completion, & student debt to highlight the need for affordable and equitable outcome avenues in the remainder of the decade 
#txlege #txed",degree
2155,"Brokering a loop hole where you label a power plant “sustainable” and then backdoor grandfather in a clause that says 

Burn wood

Cut a forest down & burn wood. 

LarryCHIANG say:
“Audit, everything. #cs183audit”",burn
2238,"Some muli (radish) paratha  (bread) with chai was perfect for this amazing rainy weather.  @ Austin, Texas https://instagram.com/p/CdMZQjLrvJy/?igshid=YTgzYjQ4ZTY=…",weather
2493,A modern home that is warm and cozy on the inside ,warm
2523,Burn the witch!,burn
2598,Looking forward to playing @familybusinessbeerco  tomorrow from 2-5 PM! Great brews and pizza! It’s gonna be a hot one so stay frosty at Family Business! @ Family Business Beer Company,hot
2601,"Currently 92 degrees. @ Austin, Texas https://instagram.com/p/CdO5X8eOBusd9op7fXunb_LokvsSoFBrPZZIOE0/?igshid=YTgzYjQ4ZTY=…",degree
2637,"I made it to my folks just in time to celebrate my brother and my Pop's birthdays! The #homebrew is flowing and the cigars are burning good this evening  @ Manchaca, Texas https://instagram.com/p/CdPBz9dJ_kV/?igshid=YTgzYjQ4ZTY=…",burn
2714,#saveEarth #savetheearth #savetheplanet #ClimateCrisis #ClimateActionNow #ClimateEmergency #ClimateAction #climate #ClimateJustice #SaveEnvironmenttoSaveEarth,climate
2809,It’s 81° and humid this morning. It’s hot.,hot
2890," Hydration is key. Ready for an outdoor broadcast of 
@BaylorSoftball
 vs Texas. First pitch at 1:02 on 101.3 FM or http://listen.streamon.fm/kbhthd2",hydration
2906,"I am sure this will sock you…I ordered my first beer at Jester King and it is fresh and excellent!!  F$&*@ng hot..98 degrees in the shade. - Drinking a German-Style Pilsner by 
@jesterkingbeer
 at 
@jesterkingbeer
  — https://untp.beer/s/c1155959461",degree
2931,"Here’s to starting #summer in #austintx  with my #bestie #sister! #wine #pool #heat @ The Hills, Texas",heat
2939,"Hey guys, due to heat the costume contest at Hank’s has been canceled. Thank you for thinking about our safety. Customer for life! Happy 4th Anniversary!  #Austin 
@austinhumane",heat
2956,"(Do me a favor and imagine a three-run  flying over the LCF wall. Promise it happened. Phone was overheating  . But the celebration confirms.)
@ColeBJohnson
 provided the big swing for 
@LTCavBaseball
 today.",heat
2972,#saveEarth #savetheplanet #ClimateEmergency #ClimateActionNow #ClimateAction #ClimateStrike #heatwave,climate
2975,Afternoon #LAGalaxy fans! It is burning lava hot outside. ,burn
3029,#saveEarth #savetheplanet #ClimateCrisis #ClimateActionNow #ClimateAction #climateanxiety,climate
3032,#ClimateActionNow #ClimateCrisis #ClimateAction #climate #ClimateStrike #saveEarth #savetheplanet,climate
3054,such a beautiful day but wheeeeew it’s hawt,hawt
3055,"Me: You guys got anything hotter? El Chef: Ten Cabron pa que te compongas!                                 My man understood the assignment, he lit my ass up   ",hot
3059,"I feel love! I can’t wait, I haven’t seen a live show in 1000 years…. @ Bass Concert Hall https://instagram.com/p/CdRydKPNNOQ/?igshid=YTgzYjQ4ZTY=…",dry
3088,"Our fundraiser was a SUCCESS & we had 42 participants playing in 100 degrees today for a good cause.  Donations will go to team meals, equipment, and a  for every / in Pflugerville.  
We’re still taking donations for 2wks…write “N/A for tourney.”

https://pflugervilleisd.revtrak.net/hs/hendrickson-high-school/hhs-tennis/…",degree
3107,"Red, Hot & Soul is a brilliant affair. Thank you @nathanidais, @lance_avery_morgan, @preeceforrest, @courtney_santana, @kennywilliamssings, and @mariagroten. #music #arts #philanthropy https://instagram.com/p/CdR_UYuNLnN5WO2rIJyvEDs5sKlhNnSedvmrUA0/?igshid=YTgzYjQ4ZTY=…",hot
3251,"Operation avoid heat stroke, part II. Tune in on 101.3 FM at 1pm for 
@BaylorSoftball
 and Texas. Bears going for the series win.",heat
3337,"Steamy, 98-degree Austin today where I managed to snap this pic before stepping outside into the heat! More TX pics this week. #austintexas #atx #happymothersday #barbecue https://instagram.com/p/CdUD3Fjr7VY5kAX5U01yM5aQmAIKdIA5XUFM1Q0/?igshid=YTgzYjQ4ZTY=…",degree
3346,"Had a blast at the Pecan Street Festival yesterday with my sister and my lovely niece. It was HOT but FUN. Glad it’s back! #austintexas #ATX #6thstreet @ Austin, Texas https://instagram.com/p/CdUF-cTpiok/?igshid=YTgzYjQ4ZTY=…",hot
3410,How to beat some of that Texas Heat,heat
3545,"Don’t hate me ~ but I kinda love a 97 degree day now n again … & i’m coming home tan! #texas    @ Austin, Texas https://instagram.com/p/CdV46CbugBj/?igshid=YTgzYjQ4ZTY=…",degree
3617,"It’s Monday, May 9th, 100+ degrees … I’m out here dragging a tire getting ready for a backpacking trip!   @ Atomic Legion https://instagram.com/p/CdWWlrVldBh/?igshid=YTgzYjQ4ZTY=…",degree
3690,It’s hot!,hot
3839,#SaveTheEarth #savetheplanet #ClimateCrisis #ClimateEmergency #ClimateActionNow #ClimateAction #climate,climate
3939,"Double trouble? More like Triple Trouble.    

Come grab these new Triple IPA Beers…trust me you’ll need a nice cold beer with this Texas heat  
@StoneBrewing
  @SierraNevada",heat
3961,"Lucky Charms, General Mills - Austin, Texas - I had nausea, chills, fever, stomach & body pains after eating a bowl of cereal Food Poisoning https://iwaspoisoned.com/i/O3Yn1vz #luckycharms #generalmills #nausea #diarrhea #vomiting #fever #chills #bodyache",fever
3989,"My lunch is likely better than your lunch...at least on this day. Eating some pretty good Mexican food and drinking some really good drinks while staring at Lake Travis. 

#travel #vacation #food #laketravis #oasis",oasis
4135,"Got to hang with my boys 
@evanf1997_
 @Sweatcicle
 just was missing my guy 
@cbgray_
! They are great for the Destiny community but even better in person.",sweat
4240,"Austin, Texas - On 5/5/22, ~12:30 p.m., I visited the deli and got a small gumbo with a little chili con carne, small salad (spinach, arugula, cheeses, chopped... Food Poisoning https://iwaspoisoned.com/i/dzPyQeg #nausea #diarrhea #headache #gas #cramps #fatigue #stomachpain",cramps
4297,Accident cleared in #Austin on Wells Br Pky at Thermal Dr #ATXtraffic http://bit.ly/10BGKax,thermal
4397,It’s Austin’s hottest May ever. I have officially entered the pool.  #atx,hot
4401,State track meet tradition!! The Oasis the night before the meet!! #LadyCatTakeover,oasis
4454,"Iffy weather = think calm thoughts. 

This will be the 19th launch for #SpaceX in 2022, and the 12th #Starlink mission of the year. A success will help the company surpass their 2017 total manifest (18).",weather
4465,Red Ash. Worth the pasta sweats. #redash #italian @ Red Ash,sweat
4466,"Comin’ in hot from Cypress Texas
Welcome to the Hilltop Luke!!!

#FearTheGoat @ St. Edward's University Athletics",hot
4679,#SaveEarth #savetheplanet #ClimateCrisis #ClimateAction #ClimateActionNow #ClimateEmergency #climate #climatestrike,climate
4820,"It’s hot. But it’s the state track meet, so we’re here being loud and proud! Let’s Go Tigers! #toetheline",hot
4854,"No pos wow! Iralo, congratulations 
@patricksalinas
! #AISDSalute2022 winner of 2022 Assistant Principal Of The Year! #aisdProud #somosAISD Congratulations Norman-Sims Trailblazers! #OrgulloLatino",blaze
4881,It’s hot as hell,hot
4942,"It’s breezy, so the fire pit is keeping me warm, and yes, it’s super relaxing! There’s Country music playing in the background, distant chatter, so I’m just enjoying this moment in time.",warm
4985,As Austin is heating up I am excited to announce to be traveling to Berlin next Monday. #Austin to #Europe - looking forward to seeing all my friends ,heat
5071,"We love it for the view…
 
@oasislaketravis
 @ The Oasis Restaraunt And Bar https://instagram.com/p/CdgNLfpusjw/?igshid=YTgzYjQ4ZTY=…",oasis
5075,"We love it for the view…
 
@oasislaketravis
 @ The Oasis Restaraunt And Bar",oasis
5080,#SaveEarth #saveplanetearth #wildfire #ClimateCrisis #ClimateEmergency #ClimateActionNow #ClimateAction,climate
5157,using my creative writing degree,degree
5245,Hot boy summer has commenced,hot
5246,"The Solar “A” is on the way! 
Another busy day at Giga Texas, great way to wrap up an absolute stellar week of progress and a ton of cars coming out of the factory! May 13, 2022 
 
@peterdog15",solar
5288,"Freshman Nia Trammell, 
@ODWyattFWISD
 competes in a   scorching hot 5A Girls 100m field.
@FortWorthISD
 @AD_DrLisa",hot
5302,Hot damn,hot
5337,"Recruiting and networking at the UIL Track and Field Championships for the last part of the 2A and 5A races. The mile is in a few minutes. Should be fun to watch. I will be here all day tomorrow for the 1A and 6A in the burning sun. 
@UDallasSports
 @UDAthRecruiting
 @UDallasUGA",burn
5382,This weather plus drinks = great night ,weather
5418,"Refugio boys track coach Adam Spiegleman said Ernest Campbell’s blistering anchor leg in the 400 relay set the tone on Friday at the #UILState meet. 
@CallerSports",blistering
5453,"Literally knew this was going to happen, when it’s hotter next week (100+ degree temperatures) then it’s going to really come crashing down",degree
5497,": Austin, TX

We’ve got some nice cloud cover and 75-degree weather this morning as the final day of the #UILState track and field championships gets underway. Stay tuned to 
@HoustonChronHS
 for medalists updates and follow our live blog here: https://houstonchronicle.com/texas-sports-nation/hs-sports/article/Live-updates-UIL-Class-6A-track-and-field-state-17172928.php…",degree
5538,"Happy Saturday! Come enjoy this nice weather at Onion Creek Greenbelt! Explore the trails, swim in the creek & grab some treats for your pups! @ Austin, Texas https://instagram.com/p/CdivaSiO_M1/?igshid=YTgzYjQ4ZTY=…",weather
5540,"Refugio’s Antwaan Gross said he was under the weather heading into the #UILstate meet but pulled it together to chase points for the Bobcats in triple jump. 
@CallerSports",weather
5541,"G-P’s Jacob Thomas said the conditions were hot midday but he was able to push through. 
@CallerSports
 @GPAthletics1
 @goGPtrack",hot
5548,".⁦
@PoseySupreme
⁩ just cleared 7’2” and he’s just warming up



⁦
@abc13houston
⁩ ⁦
@AnalyticalCoach
⁩ ⁦
@strake_jesuit
⁩",warm
5603,"@McMahonShellie
 manages to be glamorous in glaring sun while I stand there and turn into a puddle! #ReproductiveRights #RoeVsWade #WomensRights #HumanRights Thanks Shellie for always inspiring us to do more. #BIPOC #women die at a higher rate due to pregnancy complications. #Vote",glaring
5617,"McKenna Marshall warming up to compete in the 
@uiltexas
 discus 6A State Championship! TIME TO COMPETE!!! 
@langhamcreekhs
 @CFISDAthletics
 @CyFairISD
 @coachellie",warm
5738,Hot out today ,hot
5827,"Moon at beginning, milage and moon at arrival. 
#sweatysaturday",sweat
5836,"Tomorrow on #TheWagnerWire:
9:05am - Coming In Hot
9:10 - #MLS #FACupFinal 
9:30 -#NBA w/ 
@KSMedia13
9:45 - Smash or Pass
10:05 - #NHL #StanleyCup & #MLB
10:30 - 
@14AdotWalsh
10:45 - Just The Tip
11:00 - #NFL
11:30 
@justinwells2424
11:45 - Last Call
Show more",hot
5859,"Drinking a Jet Stream by 
@BrewDog
 @ British Airways BA190 - Austin,TX to London Heathrow —",heat
5930,It's a hot May in Austin Texas and our pool at @westoverhillsclubatx is the place to be! The pool was busy all day yesterday. #westoverhillsclubatx @ Westover Hills Club https://instagram.com/p/CdlPF-FgpVZltbFyctD0e2H5yKGQl6HZ2WFqe80/?igshid=YTgzYjQ4ZTY=…,hot
5971,"Running around town with my loves….. #austin #roundrock #laketravis #theoasis #pflugerville #texas #bbloggers #fashion #style #renttherunway #visitingaustintx @ Austin, Texas",oasis
6073,this tiddy sweat ain’t no joke,sweat
6083,"Finally got to see the state capital of Texas today, was warm walking around but worth it  @ Texas State Capitol",warm
6337,"Before and after pics after a little branch trimming 
#procrastination 
#done
#sunnyweather",sunny
6432,#SaveEarth #savetheplanet #ClimateCrisis #ClimateActionNow #climate #ClimateEmergency #ClimateJustice #ClimateStrike,climate
6558,"Come on man, you were a former football player, you should know playing in the 95-100 degree heat is absolute trash. Y’all gotta have this game kick off at 6:30/7/7:30.",degree
6672,"Drinking a Smell the Van by Fairweather Cider Co. at 
@blacksheeplodge
 —",weather
6929,"Thanks to everyone who came out and sweated with us last night. We’ll do it again really soon.

: 
@tony_the_murse",sweat
6940,These two have so much in common already  #HeatNation,heat
6981,"Cropped and edited. Here is 
@kinggoji
 take on Ryoko drinking sake in a hot spring!! The big cat battling the dragon on the screen is based off of my kitty cat, Ryoko!!! #ryoko #originalart @ Austin, Texas",hot
7301,"Puñ&$7… madre e hija, 32 y 18!!! 
#sacandoaldoñoapasear

https://metro.pr/noticias/2022/05/19/arrestan-madre-e-hija-por-drogas-y-municiones-en-la-barriada-morales/?fbclid=IwAR2Rf03xRh1xvHcU71f3UV-l09XlpwJLQzFoRuG83NBGmG5R-w4wFKcoca4…",sear
7309,"2010/2011 drought, part deux.",drought
7347,"It’s a beautiful sunny Thursday! Come play in the creek, explore the Greenbelt & grab some yummy treats! @ Austin, Texas https://instagram.com/p/Cdv2fuBlMxc/?igshid=YTgzYjQ4ZTY=…",sunny
7438,"Now Hiring: Legal Assistant | Bickerstaff Heath Delgado Acosta LLP: Austin, Texas | http://joburl.ws/16841214 #jobs",heat
7447,"Looking forward to the Great Weather...

#Austin",weather
7557,So honored to know these Seniors! Every year the banquet gets better and better! I love my job and honored to be a Ranger! #RangerGolf2022 #InTexasWeGolfAllYear @ Oasis Texas Brewing Company,oasis
7560,"@tupps_brewery Triple Double is a triple dry hopped DIPA using Bru-2, smooth and clean flavors #craftbeer #drinklocal #dipa #hops @ Austin, Texas",dry
7561,"Best job a guy could have is working with the amazing students. One quote that I love from one of my Seniors is,
“The Golf Team is full of beautiful people” couldn’t agree more!  @ The Oasis on Lake Travis",oasis
7585,Slow and steady but sweaty and didn’t need my knee brace.  Good night and sweet dreams  y’all @ Life Time Austin Arboretum,sweat
7703,"Everything is bigger in Texas, including the times had. Had an amazing time celebrating our boy Eddie, can’t wait to stand by your side in a few months! #Simmer @ Austin, Texas https://instagram.com/p/CdyJHw8ODEB/?igshid=YTgzYjQ4ZTY=…",simmer
7722,"oh, it’s very hot ",hot
7733,"#petitchablis with spicy #mexicanfood WORKS. Why? Tropical fruit with weight and depth, and it's a great way to #brunch. @ Cosmic Taco",tropic
7827,it’s always a chicken bake and churro for me personally,bake
7913,Stop and go traffic in #Travis on I-35 SB between Stassney Ln and Windy Hl Road/Kyle Crossing #ATXtraffic http://bit.ly/10BGKax,windy
8024,"OTD in 2012, most of the continental US got to see the Sun as a burning ring of fire. On October 14 of 2023, we’ll have the opportunity to witness it again.

The path of totality stretches from the coast of Oregon all the way down to Corpus Christi, Texas. Mark your calendars! ",burn
8069,I haven’t been to the movies in a hot minute it’s time……….. I want some popcorn and chocolate ,hot
8080,"I've lived in Austin for 20yrs now. The Drafthouse has been an anchor for me through all the turbulent years. Things have been and always will be hard, but I'm grateful for the place that I've always been able to go when I needed a place to sit and escape life for a bit. #Alamo25",turbulent
8123,"Toast With Jelly! 

#Austin",toast
8201,"Shopping today? Stop by @potterybarn_austin and check out my Pet Pop Art! It's a beautiful sunny day and we're just getting started. 

#potterybarn #pets #art #atx #austintexasthings @ Austin, Texas",sunny
8313,"Sweet wipe out on 1826 … hot. Last weekend before #captextri @ Austin, Texas https://instagram.com/p/Cd1OGABFBdyibjWr7vS9Zopam7mnj5NxungcCU0/?igshid=YTgzYjQ4ZTY=…",hot
8323,Hot one on set! @ Unofficial Austin Motocross Park,hot
8381,"And we have a delay here at Disch-Falk as the umpire who had been calling an terrible game behind the plate removes himself due to heat stroke...it explains so much!
@TexasBaseball
 still trails 
@KUBaseball
 5-0 in the 5th inning

#HookEm ",heat
8438,"Thanks 
@AustinVoices
 for partnering w 
@AustinISD
 to bring us STEAM fest at 
@MMSEagles
! So good to see 
@Govalle_Roadies
 staff there along w 
@aisdparents
. I  that my job is to go places to engage the community about Long-range Planning #aisdProud http://austinisd.org/plans/get-involved…",steam
8445,"Top of the 8th inning and 
@SeanAllen3
 is out to chat with 
@Anixon42
 as he has walked the first two batters.
@Lebarronjr
 and 
@coy_cobb
 are up in the pen getting warm.
Upshaw (who tried to fight the entire Texas dugout is at the plate now)

#HookEm ",warm
8538,"http://thsr.us/burn

If something is burning, it is on fire.
E.g. ""That boy was rescued from a burning house.""

#learnenglish #writers #thesaurus #synonym #synonyms #ielts",burn
8544,"Saturday#blazinghot #austintxhot #somewhereonsouthcongress #streetarttx (If anyone knows the name of this artist, please do share!) #sxsw2022 #southcongressaustin @ South Congress https://instagram.com/p/Cd13anXuKg-/?igshid=YTgzYjQ4ZTY=…",blazing
8560,"The views enroute to work 
#17times 
#sweatyaf",sweat
8566,"Here in the sweltering heat to witness the doctoral graduation of Mo City’s finest! So proud of you 
@AngelWilson36
! #UTGrad2022",heat
8579,"@utexaspharmacy
  PharmD candidates, Dean Poloyac has certified your accomplishments to obtain your PharmD degrees  @ The University of Texas at Austin https://instagram.com/p/Cd2BtUiNSHI/?igshid=YTgzYjQ4ZTY=…",degree
8601,Spotless car at 11am.. Severe thunderstorm watch at 11pm. I love Texas weather this time a’year.,weather
8681,63 degrees this morning,degree
8744,Ongoing engineering tests on new 4680 Model Ys and solar panels at Giga Texas today! #Tesla #GigaTexas #ModelY,solar
8902,"Shrooms, A Hot Shower & Fried Chicken Is Self Love",hot
8967,Accident in #Austin on Howard Ln at Thermal Dr/Metric Blvd #ATXtraffic http://bit.ly/10BGKax,thermal
9115,"#blackbelt  2nd degree
@whitehawkwellness
#embroiderydesign 
#embroidery
#embroiderydigitizer @ Anne's Embroidery https://instagram.com/p/Cd6eFy6FQif/?igshid=YTgzYjQ4ZTY=…",degree
9183,My bestie know me I love the shades babbeee I love sunglasses,shade
9235,"Super fun, Saturday night  with friends 
 Rainy night, rainy dance night! @ 77 Degrees Rooftop https://instagram.com/p/Cd7DGLHL8fg/?igshid=YTgzYjQ4ZTY=…",degree
9243,Is #kylelowry afraid of the weight room? #askingformyself #NBAPlayoffs #easternconferencefinals #celticsvsheat,heat
9340,This #BravocadoToast was great! #AustinTx #PlantBased,toast
9539,"@KXAN_Weather
 @KXAN_News
 are you planning on interrupting the series finale of #ThisIsUs?",weather
9577,Just a little fitness magic today!   @avillasana143 #fitness44 #strongertogether #supporteachother @ Lady Bird Lake Hike and Bike Trail,hot
9600,"But in this mode there are no items, special arrows, or stores. We have to do the best we can with nothing but basic arrows. There are no heath pickups. All the bell towers are broken.",heat
9624,she was getting so hEated,heat
9658,This is unbearable ,unbearable
9672,"@BurningBush_eth
 @ericspivak
 @justinmmelillo",burn
9912,"When Mama was 70's preteen COOL 

       Walkin Talkin Texas Texture  

#70s #70sstyle #70saesthetic #70shair #70srock #70svintage #70sshadesfordays @ Austin, Texas",shade
9923,"""House-Smoked Ribeye""  with a side of Mashed Potatoes and HP Mac & Cheese from The steak was seasoned with a BBQ Dry Rub that gave it an interesting but good flavor. #bigdrefoodieforlife",dry
9934,"Moral imperatives, faith based values, eliminating most psychotropic drugs & crime control… these topics propel positive change and enhance security for our sacred communities. The rest is just white noise.",hot
10011,Happy that I have my legs burning and my arms got a workout too.  #gettinginshape #healthy #happy @ Life Time Austin Arboretum,burn
10102,"Beat the heat with our
ICE CREAM CUPCAKES

Forget frosting, give me ICE CREAM!!
Combining two of our favorites!

Have a special event coming up? Our dessert truck is perfect for any social gathering, business or casual...your guest will definitely enjoy our treats",heat
10119,It’s the Glow Up or is it Juss Me,glow
10136,"What a beautiful Thursday! Come enjoy this good weather exploring Onion Creek and spoiling your pup with some yummy treats! 

7004 Onion Creek Drive @ Austin, Texas",weather
10144,"The solar logo is coming together, literally, at Giga Texas! #Tesla #GigaTexas #Solar",solar
10232,#SaveEarth #savetheplanet #ClimateCrisis #ClimateActionNow #ClimateEmergency #ClimateJustice,climate
10432,"Well, that’s a pretty little pile of trash. Is there a metaphor for Texas in there somewhere? #fuckabbott #hotluck @ Mohawk Austin",hot
10454,"Dry land shenanigans. #texasgoalies @ Austin, Texas https://instagram.com/p/CeEM-4Xunu8/?igshid=YTgzYjQ4ZTY=…",dry
10627,scooter ride back downtown #notworking #beerhunting #5thstreet (not a typo) #wishyouwerehere #lingeringsunshine @ Central District Brewing,sunshine
10813,Last night was super fun with friends #77degrees #rooftop #funparty #friends #domain #livvieslife @ 77 Degrees Rooftop,degree
10822,Excited to do our final venue walk through for next weekend’s LOAR Summer Celebration with Jackopierce. @ Oasis Texas Brewing Company https://instagram.com/p/CeHGK4HOe--nT0oRx8f74siIFBrfuIpH6TIgOU0/?igshid=YTgzYjQ4ZTY=…,oasis
10829,"Lovely on a hot day. - Drinking a Saison C’est Bon! by 
@TheFamilyBeer
 @ Family Business Beer Company  — https://untp.beer/s/c1163144051",hot
10841,We’re settled in and warming up! #tssec,warm
10915,"Sunny day = pool day    @ Austin, Texas https://instagram.com/p/CeHjFB1re7S7N9lOcPmkdty1HSeA3jfQqTrvWg0/?igshid=YTgzYjQ4ZTY=…",sunny
10918,"Chili's - Austin, Texas - Ordered the combo plate with pork tamale topped with queso, cheese enchilada topped with verde sauce, and rice with beans. 2 hours later, vomiting, diar... Food Poisoning https://iwaspoisoned.com/i/O3YY1o3 #chilis #nausea #diarrhea #vomiting #cramps",cramps
10975,Getting stuffed at the Hot Luck Food & Music Festival in TX,hot
11014,"Good morning, early birds!  Tracking a warm and breezy start to your Sunday. We’d love ya to join us on KVUE now until 9 a.m.",warm
11045,"Happy Sunday y’all! Come on down to Onion Creek Greenbelt to enjoy this great weather, play with your pups and grab some yummy treats! 

: @weshakebutt @ Austin, Texas https://instagram.com/p/CeJV59WOMfV/?igshid=YTgzYjQ4ZTY=…",weather
11114,"It's hot. #Texas #DownByTheCrick @ Parkside At Slaughter Creek, Austin, Texas https://instagram.com/p/CeJzrWvFiXc/?igshid=YTgzYjQ4ZTY=…",hot
11116,"Saddled up and ready to ride, 
@elgauchowinery
 from 3-6 on this hot, beautiful Sunday. Come on out to #Spicewood! #livemusic #fullcontactfolkmusic #atxmusic @ El Gaucho Winery",hot
11177,"HOT START  
@NBEliteBaseball National takes the lead over @NBEliteBaseball American in the bottom of the 1st with a single from Jackson Kuenzi.",hot
11217,"“i have mozzarella sticks, i’m drunk and drinking a tropical drink, and ‘All Star’ just started playing……i think i’m in heaven right now” -
@RandyTrembacki",tropic
11268,"Another #captex tri with perfect weather (so far). #triathlon @ Austin, Texas https://instagram.com/p/CeLp9fqubArcA1-pLTfj9gjmaHNq8ZGt7m5ZpY0/?igshid=YTgzYjQ4ZTY=…",weather
11332,A Grilled Mahi Mahi Sandwich with Housemade  Tartar on a Toasted Bun. YUM! #bigdrefoodieforlife,toast
11376,"The S Team workout facility has relocated in Westlake! Just in time for a sweaty summer 
@fringesport
 @ Austin, Texas https://instagram.com/p/CeMf1ZZO0EsY05Q3yw21rpatbp3IceGEP6N7ck0/?igshid=YTgzYjQ4ZTY=…",sweat
11382,I’ve been wanting to come to Sur La Table for a while. Not sure why I didn’t visit on a cooler day though… #TexasHeat2022 #surlatable @ Domain Northside https://instagram.com/p/CeMiR7pJIr2SpVEBYzLTE102F7rhoMBFvoJg3w0/?igshid=YTgzYjQ4ZTY=…,heat
11480,"experiencing them right now, need humidity blocker for my hair",humid
11520,"Wingstop - Pflugerville, Texas - Wings tasted off, after eating I felt sick: went to bed woke up the next day feel nauseous, then got fever, chills, upset stomach, the wor... Food Poisoning https://iwaspoisoned.com/i/ZNKAv4z #wingstop #nausea #diarrhea #fever #cramps #chills",cramps
11603,"Another beautiful, but windy day at Giga Texas with lots of progress on the ground! #Tesla #GigaTexas #ModelY",windy
11625,"Beat the heat with our
ICE CREAM CUPCAKES

Forget frosting, give me ICE CREAM!!
Combining two of our favorites!

Have a special event coming up? Our dessert truck is perfect for any social gathering, business or casual... everyone will enjoy our treats! 
@elonmusk",heat
11629,"Been here 10 minutes… already sweating through my shirt. 
@crawfordisd
 plays in the 2A State Semis later this afternoon. #UILState",sweat
11799,"@boyfrndz Hot Boiz, coming 2023 @ Austin, Texas",hot
11919,Officially the hottest May on record. Sigh.,hot
11982,"A Perfect Beach Glow  @ Austin, Texas https://instagram.com/p/CeRoSULFMdO/?igshid=YTgzYjQ4ZTY=…",glow
11985,BREAKING NEWS it is sprinkling here! #atxweather #utaustin,weather
