,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,link,username,datetime,tweet_text,impressions,likes,longitude,latitude,field_1,timestamp,year,month,day,hour,minute,second,contains_keyword,keyword
2601,2601,300337,300337,5185,https://twitter.com/auvie2/status/1522699392997859328,@auvie2,2022-05-06T22:06:40.000Z,"Currently 92 degrees. @ Austin, Texas https://instagram.com/p/CdO5X8eOBusd9op7fXunb_LokvsSoFBrPZZIOE0/?igshid=YTgzYjQ4ZTY=…",,,30.26832471419792,-97.74867281176928,,1651892800.0,2022,5,6,22,6,40,True,degree
2637,2637,42162,42162,56,https://twitter.com/joshuasteubing/status/1522717949471174656,@joshuasteubing,2022-05-06T23:20:24.000Z,"I made it to my folks just in time to celebrate my brother and my Pop's birthdays! The #homebrew is flowing and the cigars are burning good this evening  @ Manchaca, Texas https://instagram.com/p/CdPBz9dJ_kV/?igshid=YTgzYjQ4ZTY=…",,,30.14100313984144,-97.83659590786849,,1651897224.0,2022,5,6,23,20,24,True,burn
2714,2714,409563,409563,3500,https://twitter.com/AntonyJosephind/status/1522767146237022208,@AntonyJosephind,2022-05-07T02:35:53.000Z,#saveEarth #savetheearth #savetheplanet #ClimateCrisis #ClimateActionNow #ClimateEmergency #ClimateAction #climate #ClimateJustice #SaveEnvironmenttoSaveEarth,,1.0,30.44635585773107,-97.6850769652564,,1651908953.0,2022,5,7,2,35,53,True,climate
2809,2809,285889,285889,132,https://twitter.com/MAAlcala/status/1522947487304192002,@MAAlcala,2022-05-07T14:32:30.000Z,It’s 81° and humid this morning. It’s hot.,,8.0,30.26475023647056,-97.75231901007317,,1651951950.0,2022,5,7,14,32,30,True,hot
2890,2890,368951,368951,462,https://twitter.com/InghamFNBCT/status/1522994774244003840,@InghamFNBCT,2022-05-07T17:40:24.000Z," Hydration is key. Ready for an outdoor broadcast of 
@BaylorSoftball
 vs Texas. First pitch at 1:02 on 101.3 FM or http://listen.streamon.fm/kbhthd2",,4.0,30.280747267456512,-97.72690656087958,,1651963224.0,2022,5,7,17,40,24,True,hydration
2906,2906,4446,4446,54,https://twitter.com/seanlcraig/status/1523001464071004161,@seanlcraig,2022-05-07T18:06:59.000Z,"I am sure this will sock you…I ordered my first beer at Jester King and it is fresh and excellent!!  F$&*@ng hot..98 degrees in the shade. - Drinking a German-Style Pilsner by 
@jesterkingbeer
 at 
@jesterkingbeer
  — https://untp.beer/s/c1155959461",,,30.23105520962965,-97.99726201859455,,1651964819.0,2022,5,7,18,6,59,True,degree
2931,2931,5545,5545,3,https://twitter.com/cristinagboswel/status/1523017410319876097,@cristinagboswel,2022-05-07T19:10:21.000Z,"Here’s to starting #summer in #austintx  with my #bestie #sister! #wine #pool #heat @ The Hills, Texas",,2.0,30.3479480127254,-97.98191951215097,,1651968621.0,2022,5,7,19,10,21,True,heat
2939,2939,401091,401091,4,https://twitter.com/Kaxan_KXAN/status/1523022338144411649,@Kaxan_KXAN,2022-05-07T19:29:56.000Z,"Hey guys, due to heat the costume contest at Hank’s has been canceled. Thank you for thinking about our safety. Customer for life! Happy 4th Anniversary!  #Austin 
@austinhumane",,39.0,30.312022508061062,-97.69588064208033,,1651969796.0,2022,5,7,19,29,56,True,heat
2956,2956,10481,10481,20,https://twitter.com/DustinLMcComas/status/1523034436291420167,@DustinLMcComas,2022-05-07T20:18:00.000Z,"(Do me a favor and imagine a three-run  flying over the LCF wall. Promise it happened. Phone was overheating  . But the celebration confirms.)
@ColeBJohnson
 provided the big swing for 
@LTCavBaseball
 today.",,26.0,30.328013467688667,-97.97131583095523,,1651972680.0,2022,5,7,20,18,0,True,heat
2972,2972,409557,409557,3494,https://twitter.com/AntonyJosephind/status/1523046035693748225,@AntonyJosephind,2022-05-07T21:04:06.000Z,#saveEarth #savetheplanet #ClimateEmergency #ClimateActionNow #ClimateAction #ClimateStrike #heatwave,,,30.44635585773107,-97.6850769652564,,1651975446.0,2022,5,7,21,4,6,True,climate
2975,2975,172235,172235,37,https://twitter.com/MikeGrayAFC/status/1523047117249462272,@MikeGrayAFC,2022-05-07T21:08:24.000Z,Afternoon #LAGalaxy fans! It is burning lava hot outside. ,,38.0,30.247659538307893,-97.75793539995104,,1651975704.0,2022,5,7,21,8,24,True,burn
3029,3029,409556,409556,3493,https://twitter.com/AntonyJosephind/status/1523083034659983363,@AntonyJosephind,2022-05-07T23:31:07.000Z,#saveEarth #savetheplanet #ClimateCrisis #ClimateActionNow #ClimateAction #climateanxiety,,,30.44635585773107,-97.6850769652564,,1651984267.0,2022,5,7,23,31,7,True,climate
3032,3032,409555,409555,3492,https://twitter.com/AntonyJosephind/status/1523083650744877056,@AntonyJosephind,2022-05-07T23:33:34.000Z,#ClimateActionNow #ClimateCrisis #ClimateAction #climate #ClimateStrike #saveEarth #savetheplanet,,1.0,30.44635585773107,-97.6850769652564,,1651984414.0,2022,5,7,23,33,34,True,climate
3054,3054,25094,25094,67,https://twitter.com/megan_fleming/status/1523100125236645888,@megan_fleming,2022-05-08T00:39:02.000Z,such a beautiful day but wheeeeew it’s hawt,,,30.40663994627672,-97.87673196281604,,1651988342.0,2022,5,8,0,39,2,True,hawt
3055,3055,270071,270071,10,https://twitter.com/TeamGumball5/status/1523101434178600960,@TeamGumball5,2022-05-08T00:44:14.000Z,"Me: You guys got anything hotter? El Chef: Ten Cabron pa que te compongas!                                 My man understood the assignment, he lit my ass up   ",,5.0,30.3973909372492,-97.75243896190966,,1651988654.0,2022,5,8,0,44,14,True,hot
3059,3059,345268,345268,108,https://twitter.com/daringyoungman/status/1523106389769736192,@daringyoungman,2022-05-08T01:03:55.000Z,"I feel love! I can’t wait, I haven’t seen a live show in 1000 years…. @ Bass Concert Hall https://instagram.com/p/CdRydKPNNOQ/?igshid=YTgzYjQ4ZTY=…",,,30.2862303189238,-97.73403902521189,,1651989835.0,2022,5,8,1,3,55,True,dry
3088,3088,460409,460409,32,https://twitter.com/HawkTennis1/status/1523121194366513153,@HawkTennis1,2022-05-08T02:02:45.000Z,"Our fundraiser was a SUCCESS & we had 42 participants playing in 100 degrees today for a good cause.  Donations will go to team meals, equipment, and a  for every / in Pflugerville.  
We’re still taking donations for 2wks…write “N/A for tourney.”

https://pflugervilleisd.revtrak.net/hs/hendrickson-high-school/hhs-tennis/…",,10,30.465223809003767,-97.59101188236284,,1651993365.0,2022,5,8,2,2,45,True,degree
3107,3107,94936,94936,20,https://twitter.com/Austinpublisher/status/1523134684838109185,@Austinpublisher,2022-05-08T02:56:21.000Z,"Red, Hot & Soul is a brilliant affair. Thank you @nathanidais, @lance_avery_morgan, @preeceforrest, @courtney_santana, @kennywilliamssings, and @mariagroten. #music #arts #philanthropy https://instagram.com/p/CdR_UYuNLnN5WO2rIJyvEDs5sKlhNnSedvmrUA0/?igshid=YTgzYjQ4ZTY=…",,,30.26481865150298,-97.75951988302822,,1651996581.0,2022,5,8,2,56,21,True,hot
3251,3251,368947,368947,458,https://twitter.com/InghamFNBCT/status/1523358241484275713,@InghamFNBCT,2022-05-08T17:44:42.000Z,"Operation avoid heat stroke, part II. Tune in on 101.3 FM at 1pm for 
@BaylorSoftball
 and Texas. Bears going for the series win.",,8.0,30.280747267456512,-97.72690656087958,,1652049882.0,2022,5,8,17,44,42,True,heat
3337,3337,434902,434902,183,https://twitter.com/AL_0713/status/1523426143285567488,@AL_0713,2022-05-08T22:14:31.000Z,"Steamy, 98-degree Austin today where I managed to snap this pic before stepping outside into the heat! More TX pics this week. #austintexas #atx #happymothersday #barbecue https://instagram.com/p/CdUD3Fjr7VY5kAX5U01yM5aQmAIKdIA5XUFM1Q0/?igshid=YTgzYjQ4ZTY=…",,,30.20258644090335,-97.67033677175225,,1652066071.0,2022,5,8,22,14,31,True,degree
3346,3346,300228,300228,5076,https://twitter.com/GinaFraustro/status/1523430792772616192,@GinaFraustro,2022-05-08T22:32:59.000Z,"Had a blast at the Pecan Street Festival yesterday with my sister and my lovely niece. It was HOT but FUN. Glad it’s back! #austintexas #ATX #6thstreet @ Austin, Texas https://instagram.com/p/CdUF-cTpiok/?igshid=YTgzYjQ4ZTY=…",,,30.26832471419792,-97.74867281176928,,1652067179.0,2022,5,8,22,32,59,True,hot
3410,3410,2275,2275,443,https://twitter.com/HeliSlacker/status/1523466508865015808,@HeliSlacker,2022-05-09T00:54:55.000Z,How to beat some of that Texas Heat,,12,30.45280531852985,-98.00608649127432,,1652075695.0,2022,5,9,0,54,55,True,heat
3545,3545,300201,300201,5049,https://twitter.com/ThisIsRiSi/status/1523683530517225473,@ThisIsRiSi,2022-05-09T15:17:17.000Z,"Don’t hate me ~ but I kinda love a 97 degree day now n again … & i’m coming home tan! #texas    @ Austin, Texas https://instagram.com/p/CdV46CbugBj/?igshid=YTgzYjQ4ZTY=…",,1.0,30.26832471419792,-97.74867281176928,,1652127437.0,2022,5,9,15,17,17,True,degree
3617,3617,95270,95270,1,https://twitter.com/Mary_Wasson/status/1523748803521744896,@Mary_Wasson,2022-05-09T19:36:39.000Z,"It’s Monday, May 9th, 100+ degrees … I’m out here dragging a tire getting ready for a backpacking trip!   @ Atomic Legion https://instagram.com/p/CdWWlrVldBh/?igshid=YTgzYjQ4ZTY=…",,,30.22151230994616,-97.76006375762177,,1652142999.0,2022,5,9,19,36,39,True,degree
3690,3690,450860,450860,20,https://twitter.com/Chykalet/status/1523782865552482310,@Chykalet,2022-05-09T21:52:00.000Z,It’s hot!,,,30.335585702545565,-97.6180955688858,,1652151120.0,2022,5,9,21,52,0,True,hot
3839,3839,409514,409514,3451,https://twitter.com/AntonyJosephind/status/1523907161520226306,@AntonyJosephind,2022-05-10T06:05:54.000Z,#SaveTheEarth #savetheplanet #ClimateCrisis #ClimateEmergency #ClimateActionNow #ClimateAction #climate,,1.0,30.44635585773107,-97.6850769652564,,1652180754.0,2022,5,10,6,5,54,True,climate
3939,3939,54897,54897,19,https://twitter.com/myspeedymart/status/1524061997742137346,@myspeedymart,2022-05-10T16:21:10.000Z,"Double trouble? More like Triple Trouble.    

Come grab these new Triple IPA Beers…trust me you’ll need a nice cold beer with this Texas heat  
@StoneBrewing
  @SierraNevada",,,30.44645656886937,-97.8059249625137,,1652217670.0,2022,5,10,16,21,10,True,heat
3961,3961,329713,329713,775,https://twitter.com/iwaspoisoned_/status/1524075705474199552,@iwaspoisoned_,2022-05-10T17:15:38.000Z,"Lucky Charms, General Mills - Austin, Texas - I had nausea, chills, fever, stomach & body pains after eating a bowl of cereal Food Poisoning https://iwaspoisoned.com/i/O3Yn1vz #luckycharms #generalmills #nausea #diarrhea #vomiting #fever #chills #bodyache",,,30.26733617391719,-97.73968296780768,,1652220938.0,2022,5,10,17,15,38,True,fever
3989,3989,25091,25091,64,https://twitter.com/ChrisHessLMT/status/1524101593867730947,@ChrisHessLMT,2022-05-10T18:58:31.000Z,"My lunch is likely better than your lunch...at least on this day. Eating some pretty good Mexican food and drinking some really good drinks while staring at Lake Travis. 

#travel #vacation #food #laketravis #oasis",,,30.40663994627672,-97.87673196281604,,1652227111.0,2022,5,10,18,58,31,True,oasis
4135,4135,295143,295143,106,https://twitter.com/Strattiiix/status/1524209361706434564,@Strattiiix,2022-05-11T02:06:44.000Z,"Got to hang with my boys 
@evanf1997_
 @Sweatcicle
 just was missing my guy 
@cbgray_
! They are great for the Destiny community but even better in person.",,6.0,30.27012913026052,-97.74864992310395,,1652252804.0,2022,5,11,2,6,44,True,sweat
4240,4240,316006,316006,30,https://twitter.com/iwaspoisoned_/status/1524415772411543553,@iwaspoisoned_,2022-05-11T15:46:57.000Z,"Austin, Texas - On 5/5/22, ~12:30 p.m., I visited the deli and got a small gumbo with a little chili con carne, small salad (spinach, arugula, cheeses, chopped... Food Poisoning https://iwaspoisoned.com/i/dzPyQeg #nausea #diarrhea #headache #gas #cramps #fatigue #stomachpain",,,30.30706773942703,-97.74277729741394,,1652302017.0,2022,5,11,15,46,57,True,cramps
4297,4297,427278,427278,11,https://twitter.com/TotalTrafficAUS/status/1524454472684089345,@TotalTrafficAUS,2022-05-11T18:20:43.000Z,Accident cleared in #Austin on Wells Br Pky at Thermal Dr #ATXtraffic http://bit.ly/10BGKax,,,30.43457314103781,-97.67982453187751,,1652311243.0,2022,5,11,18,20,43,True,thermal
4397,4397,89692,89692,240,https://twitter.com/RudyEngland/status/1524520751088508928,@RudyEngland,2022-05-11T22:44:05.000Z,It’s Austin’s hottest May ever. I have officially entered the pool.  #atx,,,30.25494533898032,-97.76504475352188,,1652327045.0,2022,5,11,22,44,5,True,hot
4401,4401,25090,25090,63,https://twitter.com/CoachMarsh22/status/1524521173459087360,@CoachMarsh22,2022-05-11T22:45:46.000Z,State track meet tradition!! The Oasis the night before the meet!! #LadyCatTakeover,,17.0,30.40663994627672,-97.87673196281604,,1652327146.0,2022,5,11,22,45,46,True,oasis
4454,4454,2257,2257,425,https://twitter.com/TylerG1998/status/1524556762556379136,@TylerG1998,2022-05-12T01:07:11.000Z,"Iffy weather = think calm thoughts. 

This will be the 19th launch for #SpaceX in 2022, and the 12th #Starlink mission of the year. A success will help the company surpass their 2017 total manifest (18).",,221,30.45280531852985,-98.00608649127432,,1652335631.0,2022,5,12,1,7,11,True,weather
4465,4465,309998,309998,470,https://twitter.com/ATXSarahLynn/status/1524564637282410496,@ATXSarahLynn,2022-05-12T01:38:29.000Z,Red Ash. Worth the pasta sweats. #redash #italian @ Red Ash,,,30.265600873447795,-97.74690691316562,,1652337509.0,2022,5,12,1,38,29,True,sweat
4466,4466,95187,95187,10,https://twitter.com/SEUXCTF/status/1524565125952331776,@SEUXCTF,2022-05-12T01:40:25.000Z,"Comin’ in hot from Cypress Texas
Welcome to the Hilltop Luke!!!

#FearTheGoat @ St. Edward's University Athletics",,5.0,30.230534488794284,-97.75995054787356,,1652337625.0,2022,5,12,1,40,25,True,hot
4679,4679,409463,409463,3400,https://twitter.com/AntonyJosephind/status/1524818041590239233,@AntonyJosephind,2022-05-12T18:25:25.000Z,#SaveEarth #savetheplanet #ClimateCrisis #ClimateAction #ClimateActionNow #ClimateEmergency #climate #climatestrike,,,30.44635585773107,-97.6850769652564,,1652397925.0,2022,5,12,18,25,25,True,climate
4820,4820,352348,352348,1041,https://twitter.com/dena_hamilton/status/1524894940437925900,@dena_hamilton,2022-05-12T23:30:59.000Z,"It’s hot. But it’s the state track meet, so we’re here being loud and proud! Let’s Go Tigers! #toetheline",,16,30.283506290391127,-97.73227323625908,,1652416259.0,2022,5,12,23,30,59,True,hot
4854,4854,395661,395661,26,https://twitter.com/GloriaVeraBedo1/status/1524909911292903429,@GloriaVeraBedo1,2022-05-13T00:30:28.000Z,"No pos wow! Iralo, congratulations 
@patricksalinas
! #AISDSalute2022 winner of 2022 Assistant Principal Of The Year! #aisdProud #somosAISD Congratulations Norman-Sims Trailblazers! #OrgulloLatino",,5.0,30.30579665914714,-97.70496889834848,,1652419828.0,2022,5,13,0,30,28,True,blaze
4881,4881,335451,335451,697,https://twitter.com/TheJacobGarcia/status/1524923026059427857,@TheJacobGarcia,2022-05-13T01:22:35.000Z,It’s hot as hell,,5.0,30.268221037781217,-97.73787117271672,,1652422955.0,2022,5,13,1,22,35,True,hot
4942,4942,27921,27921,1065,https://twitter.com/Femme_Foodie/status/1524954687342002199,@Femme_Foodie,2022-05-13T03:28:24.000Z,"It’s breezy, so the fire pit is keeping me warm, and yes, it’s super relaxing! There’s Country music playing in the background, distant chatter, so I’m just enjoying this moment in time.",,1.0,30.290142420046767,-97.86545532205096,,1652430504.0,2022,5,13,3,28,24,True,warm
4985,4985,324897,324897,202,https://twitter.com/rheareignsoveru/status/1525058632764870657,@rheareignsoveru,2022-05-13T10:21:26.000Z,As Austin is heating up I am excited to announce to be traveling to Berlin next Monday. #Austin to #Europe - looking forward to seeing all my friends ,,4.0,30.259233632369583,-97.74158678306154,,1652455286.0,2022,5,13,10,21,26,True,heat
